code;LocalBackupSuppliers;Versatility;agility_production;resilience_flow_x;resilience_flow_y
10.71C;8.94778167729814;;0.9519263573942388;2.310503586779497;2.310503586779497
10.71C;4.468327503215631;;0.9519263573942388;2.310503586779497;2.310503586779497
10.71C;9.185638343061315;;0.9519263573942388;2.310503586779497;2.310503586779497
10.71C;3.4031945844100893;;0.9519263573942388;2.310503586779497;2.310503586779497
10.71C;4.4021476437474085;;0.9519263573942388;2.310503586779497;2.310503586779497
10.71C;8.94778167729814;;0.9519263573942388;2.310503586779497;2.310503586779497
10.71C;9.185638343061315;;0.9519263573942388;2.310503586779497;2.310503586779497
10.71C;8.94778167729814;;0.9519263573942388;2.310503586779497;2.310503586779497
10.71C;8.94778167729814;;0.9519263573942388;2.310503586779497;2.310503586779497
10.71C;8.94778167729814;;0.9519263573942388;2.310503586779497;2.310503586779497
10.71C;9.66956098351378;;0.9519263573942388;2.310503586779497;2.310503586779497
10.71C;9.66956098351378;;0.9519263573942388;2.310503586779497;2.310503586779497
10.71C;3.4031945844100893;;0.9519263573942388;2.310503586779497;2.310503586779497
10.71C;9.907417649276953;;0.9519263573942388;2.310503586779497;2.310503586779497
10.71C;8.94778167729814;;0.9519263573942388;2.310503586779497;2.310503586779497
10.71C;10.383130980803305;;0.9519263573942388;2.310503586779497;2.310503586779497
10.71C;3.165337918646916;;0.9519263573942388;2.310503586779497;2.310503586779497
10.71C;8.455649727919559;;0.9519263573942388;2.310503586779497;2.310503586779497
10.71C;7.971727087467095;;0.9519263573942388;2.310503586779497;2.310503586779497
10.71C;7.971727087467095;;0.9519263573942388;2.310503586779497;2.310503586779497
10.71C;8.94778167729814;;0.9519263573942388;2.310503586779497;2.310503586779497
10.71C;8.94778167729814;;0.9519263573942388;2.310503586779497;2.310503586779497
10.71C;10.383130980803305;;0.9519263573942388;2.310503586779497;2.310503586779497
10.71C;7.971727087467095;;0.9519263573942388;2.310503586779497;2.310503586779497
10.71C;8.94778167729814;;0.9519263573942388;2.310503586779497;2.310503586779497
10.71C;9.193847651987433;;0.9519263573942388;2.310503586779497;2.310503586779497
10.71C;10.383130980803305;;0.9519263573942388;2.310503586779497;2.310503586779497
10.71C;8.709925011534967;;0.9519263573942388;2.310503586779497;2.310503586779497
10.71C;3.165337918646916;;0.9519263573942388;2.310503586779497;2.310503586779497
10.71C;3.4031945844100893;;0.9519263573942388;2.310503586779497;2.310503586779497
10.71C;9.907417649276953;;0.9519263573942388;2.310503586779497;2.310503586779497
10.71C;3.4031945844100893;;0.9519263573942388;2.310503586779497;2.310503586779497
